,Peaks,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660
2,217,1.379923905,1.512859053,1.29106194,1.298195947,1.296855276,1.266238057,1.192639436,1.268164973,1.221996621,1.592039071,1.548084002,1.522074421,1.508457229,1.481220756,1.472239024,1.416088384,1.386394256,1.427449249,1.436745276,1.397905951,1.346985702,1.453975458,1.473270157,1.496713043,1.533038279,1.526712055,1.474439437,1.445844509,1.445987525,1.484719632,1.526458433,1.529201311,1.509688318,1.483347346,1.471996069,1.463065853,1.497640195,1.516100571,1.534990272,1.524697274,1.515617246,1.453809425,1.458777937,1.482325063,1.492730697,1.534973587,1.539126168,1.509645323,1.540715823,1.531652082,1.504308106,1.522164831,1.509608729,1.461201394,1.488725843,1.461721408,1.487085361,1.440224357,1.434725532,1.418150207,,,,,,
3,217,1.335459719,1.316848919,1.360449032,1.436846025,1.396961595,1.393236618,1.423685322,1.415144945,1.425554974,1.418493602,1.412153323,1.378424136,1.437296867,1.387642571,1.371982278,1.42384254,1.406114286,1.425434901,1.41193283,1.434346307,1.433353005,1.449934525,1.455319898,1.417576079,1.414486845,1.399988458,1.398373952,1.401502601,1.403751661,1.451045448,1.408032043,1.403797055,1.406920101,1.456932671,1.388827577,1.368622071,1.379229497,1.355223266,1.373188558,1.402760896,1.348546629,1.334911567,1.352074872,1.324047663,1.33910802,1.291144417,1.339369194,1.284798857,1.284753788,1.313215809,1.289551613,1.290997592,1.268927161,1.284255523,1.28471988,1.268029541,1.066032132,1.106257383,1.164980828,1.135709328,1.150064837,1.084408879,1.097505075,1.09576334,1.136575286,1.110050425
11,217,1.479550001,1.652159798,1.782603634,1.765900972,1.789636251,1.826295629,1.806725707,1.830673374,1.85035997,1.832760289,1.829328384,1.822089313,1.83145974,1.829101652,1.830933348,1.833361198,1.84163289,1.828029255,1.811016627,1.828356618,1.821106473,1.801195308,1.81110758,1.822909037,1.821941969,1.829375125,1.812127775,1.830670469,1.823158756,1.809835375,1.82972551,1.811825285,1.826755556,1.798452488,1.806778591,1.815029481,1.813999511,1.817808412,1.803138418,1.803119871,1.791693056,1.774528689,1.780919739,1.795946098,1.787731709,1.780182086,1.783576795,1.800273901,1.802468767,1.794127569,1.793097213,1.787390009,1.809830938,1.758267394,1.779457068,1.791361582,1.797563166,1.796357946,1.797606245,1.78956448,1.781825612,1.774203734,1.769797049,1.791433956,1.777720511,1.780035961
12,217,1.33519857,1.336581406,1.366457411,1.324740182,1.404912703,1.380248907,1.398618232,1.435590774,1.390470697,1.372512728,1.349821426,1.431641316,1.432791055,1.383717872,1.36100442,1.383216098,1.403991937,1.381743026,1.400680905,1.391997219,1.38938432,1.359714489,1.433399342,1.397886308,1.363615476,1.404709218,1.369229538,1.399091345,1.386978124,1.424962356,1.408177245,1.422323653,1.380756811,1.404508788,1.384307706,1.45759935,1.44216403,1.425020411,1.403278695,1.389924132,1.446825061,1.433125473,1.4399034,1.407814791,1.396032284,1.427859533,1.405679898,1.422570588,1.452087395,1.421251167,1.435177629,1.410563399,1.444215948,1.443075427,1.451923617,1.447472785,1.414609379,1.417038126,1.414288545,1.423118205,1.440630112,1.425567876,1.441805174,1.492060197,1.444244622,1.403955547
14,217,1.234974274,1.349270536,1.476526864,1.452446705,1.4085295,1.492617406,1.476072637,1.443578659,1.449595099,1.484450126,1.442275277,1.493137831,1.533612735,1.481815332,1.520416317,1.486414497,1.547017859,1.515753926,1.477967415,1.473430474,1.485135618,1.489450946,1.43574036,1.503088865,1.461730823,1.450739338,1.457053705,1.444753778,1.518684018,1.467260841,1.504092775,1.48427754,1.516078883,1.503415268,1.48514667,1.459673688,1.445080805,1.472899869,1.448335183,1.43035455,1.463308596,1.465665371,1.460059714,1.443729212,1.498534861,1.444354573,1.436705835,1.418101088,1.453445118,1.466159383,1.489117845,1.482500607,1.478843408,1.424807678,1.459517523,1.452504047,1.45426254,1.443865096,1.477404177,1.441738052,1.445906065,1.485915976,1.44829629,1.437125944,1.452537945,1.437560264
15,217,1.37542417,1.545527527,1.550991843,1.542238533,1.583446021,1.573591168,1.611266583,1.586237144,1.584886053,1.58901022,1.571886292,1.580874486,1.581047652,1.594147196,1.578957137,1.58069037,1.579215936,1.602270398,1.559176888,1.587240581,1.611087831,1.588135922,1.619724339,1.602823094,1.590821886,1.567813336,1.590222112,1.607385405,1.538290568,1.538171313,1.552745319,1.527408078,1.536400393,1.550185313,1.539988521,1.559645998,1.54281087,1.576970017,1.545726531,1.56340123,1.531202635,1.581988013,1.550808472,1.597853191,1.623651767,1.60814919,1.614512649,1.585325036,1.609865344,1.576554462,1.633382772,1.600787479,1.615149796,1.610228227,1.612490564,1.608236337,1.619748769,1.641975725,1.596675724,1.629776563,1.641364046,1.628056134,1.61938788,1.624187717,1.62739446,1.59631775
1,472,1.155856377,1.174084877,1.229712709,1.185052176,1.221617899,1.190185331,1.215660631,1.221331833,1.205286627,1.205042911,1.216037949,1.239022143,1.196975145,1.224636589,1.226511556,1.21295545,1.233125789,1.224980778,1.221828106,1.225317632,1.228850961,1.224972274,1.236788754,1.234758896,1.242198829,1.268898399,1.235992609,1.249852758,1.236130201,1.216217463,1.235422562,1.224372907,1.23261585,1.241420225,1.253030885,1.230343215,1.257669026,1.226960188,1.182941231,1.187513661,1.207781031,1.187626209,1.20511456,1.15189899,1.148979808,1.13677691,1.106303187,1.123803532,1.149315683,1.115759704,1.146813202,1.114468596,1.099504787,1.059893962,1.063434742,1.06464836,1.036169653,1.00277058,1.000532747,0.965145316,0.960449432,0.973313542,0.951237318,0.933754308,0.895382812,0.940458253
2,472,0.968599024,1.04636581,0.922262643,0.895342031,0.888213633,0.888440622,0.867812717,0.906669267,0.861895194,1.139339702,1.107071765,1.08908746,1.080516308,1.05169875,1.073660275,0.998106885,1.00842652,1.031833864,1.027462904,0.980843596,0.956099674,1.146307246,1.151790635,1.115372468,1.147109745,1.158047664,1.119291388,1.16317178,1.185312605,1.154814962,1.149674992,1.148300865,1.154452393,1.142805602,1.179611353,1.143134761,1.096411584,1.122160032,1.133877151,1.124267311,1.091985373,1.052362004,1.11398666,1.114400395,1.091454689,1.158315607,1.14170897,1.148390712,1.132556597,1.144278935,1.130188254,1.137285202,1.12430909,1.101778335,1.108241845,1.086736122,1.096170769,1.068041239,1.052223907,1.022500517,,,,,,
3,472,1.116503212,1.113432739,1.121234284,1.131897133,1.120576078,1.119381712,1.127013205,1.12842557,1.108833703,1.119267266,1.115269138,1.118204621,1.1311557,1.149174428,1.12264729,1.112597155,1.11628216,1.115743466,1.119331668,1.10939472,1.161510965,1.114802087,1.129605285,1.111279396,1.133894939,1.110560116,1.114644805,1.119686279,1.105065211,1.12720759,1.113240524,1.111407858,1.104560086,1.116560216,1.080276475,1.079475828,1.094244675,1.072895165,1.07464513,1.12447519,1.061675541,1.073282015,1.069933361,1.056679872,1.098232508,1.091059115,1.073092947,1.05043616,1.042261628,1.037008881,1.05506224,1.021758689,1.03374689,1.023761762,1.025686558,1.000648918,0.859394848,0.851009635,0.913554749,0.910495281,0.921235035,0.871950474,0.834114921,0.887435819,0.916679169,0.868531253
11,472,1.04669924,1.183692301,1.26437013,1.273168586,1.260445281,1.300750813,1.275332662,1.286175453,1.293575889,1.301729468,1.303571327,1.299768148,1.303693639,1.298316198,1.313253583,1.310061002,1.307435362,1.298683069,1.301971045,1.301985707,1.298754277,1.295718532,1.316198914,1.296602836,1.30834328,1.303691788,1.291394253,1.298375694,1.30868329,1.302556737,1.304916128,1.307784268,1.293686744,1.298023142,1.300099744,1.310244171,1.322336192,1.316126191,1.304399495,1.312600882,1.301485477,1.293784736,1.297479869,1.298006785,1.285279382,1.310671945,1.278460165,1.308153155,1.309831089,1.300338036,1.296426385,1.310628879,1.316355563,1.299567125,1.293829125,1.296043774,1.301928051,1.299999227,1.304467892,1.300317804,1.291075617,1.28455637,1.302468368,1.294751704,1.304446969,1.288608418
