,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
375,D1-4,D1,4,TRUE,JCM14889-1s-400,1.21954109,220,204,231,9.598981673,2,375,4.516653505
376,D1-4,D1,4,TRUE,JCM14889-1s-401,0.519275769,221,206,229,3.917389978,2,376,2.485027535
377,D1-4,D1,4,TRUE,JCM14889-1s-402,1.262314106,220,200,232,10.80368364,2,377,4.88706264
378,D1-4,D1,4,TRUE,JCM14889-1s-403,1.258454472,220,200,233,10.8287561,2,378,4.894620763
379,D1-4,D1,4,TRUE,JCM14889-1s-404,0.6984132,220,206,233,6.590199462,2,379,3.515057008
380,D1-4,D1,4,TRUE,JCM14889-1s-405,1.128016936,221,208,234,9.680642303,2,380,4.542233426
381,D1-4,D1,4,TRUE,JCM14889-1s-406,1.366119138,221,206,232,10.80718387,2,381,4.88811814
382,D1-4,D1,4,TRUE,JCM14889-1s-407,1.196730172,220,205,232,10.05958647,2,382,4.660008964
383,D1-4,D1,4,TRUE,JCM14889-1s-408,0.990654237,220,204,232,8.444407427,2,383,4.146797099
384,D1-4,D1,4,TRUE,JCM14889-1s-409,0.837116478,220,208,235,7.46640112,2,384,3.820095428
385,D1-4,D1,4,TRUE,JCM14889-1s-410,1.262868229,221,206,232,10.27196268,2,385,4.725367847
386,D1-4,D1,4,TRUE,JCM14889-1s-411,1.185999934,220,203,233,10.68505534,2,386,4.851222388
387,D1-4,D1,4,TRUE,JCM14889-1s-412,0.935300145,220,205,231,7.748057415,2,387,3.915572054
388,D1-4,D1,4,TRUE,JCM14889-1s-413,1.383855628,220,203,232,11.62870075,2,388,5.132797487
390,D1-4,D1,4,TRUE,JCM14889-1s-415,1.369406115,220,209,232,11.55357963,2,390,5.110668456
391,D1-4,D1,4,TRUE,JCM14889-1s-416,1.374157931,220,206,233,12.384385,2,391,5.352823988
392,D1-4,D1,4,TRUE,JCM14889-1s-417,0.945336093,220,207,229,7.566408404,2,392,3.85413142
393,D1-4,D1,4,TRUE,JCM14889-1s-418,1.383948578,219,206,234,13.07989818,2,393,5.551404955
394,D1-4,D1,4,TRUE,JCM14889-1s-419,1.921644085,220,203,234,17.90273661,2,394,6.843521166
395,D1-4,D1,4,TRUE,JCM14889-1s-420,0.91744975,220,200,231,8.101003237,2,395,4.033597295
396,D1-4,D1,4,TRUE,JCM14889-1s-421,0.719072621,220,207,233,6.497663987,2,396,3.48207536
397,D1-4,D1,4,TRUE,JCM14889-1s-422,0.95304821,220,204,231,8.390731706,2,397,4.129206064
398,D1-4,D1,4,TRUE,JCM14889-1s-423,0.83834859,220,206,230,7.36388858,2,398,3.785048707
399,D1-4,D1,4,TRUE,JCM14889-1s-424,0.867370604,219,206,231,7.692661335,2,399,3.896886369
400,D1-4,D1,4,TRUE,JCM14889-1s-425,0.94563447,220,203,232,8.224733648,2,400,4.074564794
401,D1-4,D1,4,TRUE,JCM14889-1s-426,0.957210867,220,204,232,8.115809839,2,401,4.038510736
402,D1-4,D1,4,TRUE,JCM14889-1s-427,1.236148855,220,208,232,10.44428039,2,402,4.778068244
403,D1-4,D1,4,TRUE,JCM14889-1s-428,1.361444765,220,202,234,11.54486042,2,403,5.108096868
404,D1-4,D1,4,TRUE,JCM14889-1s-429,0.676696724,221,209,232,5.961738978,2,404,3.287875053
405,D1-4,D1,4,TRUE,JCM14889-1s-430,0.636050232,220,205,230,5.551551161,2,405,3.13527927
