id,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,content
289,d1-1,d1,1,TRUE,JCM14889-1-1s-87,1.453691057,218,202,229,14.82984594,2,289,4.152356863
290,d1-1,d1,1,TRUE,JCM14889-1-1s-88,1.344188574,217,204,229,13.11855309,2,290,3.673194865
291,d1-1,d1,1,TRUE,JCM14889-1-1s-89,0.229993158,216,207,230,2.409221005,2,291,0.674581881
292,d1-1,d1,1,TRUE,JCM14889-1-1s-90,0.436549451,217,206,230,4.182193112,2,292,1.171014071
293,d1-1,d1,1,TRUE,JCM14889-1-1s-91,0.841324944,218,204,229,8.758483131,2,293,2.452375277
294,d1-1,d1,1,TRUE,JCM14889-1-1s-92,0.983789544,217,203,231,10.6997009,2,294,2.995916252
295,d1-1,d1,1,TRUE,JCM14889-1-1s-93,0.628218053,218,200,228,6.427454465,2,295,1.79968725
296,d1-1,d1,1,TRUE,JCM14889-1-1s-94,0.37731074,217,203,228,3.855125058,2,296,1.079435016
297,d1-1,d1,1,TRUE,JCM14889-1-1s-95,0.341482352,218,210,229,2.185222414,2,297,0.611862276
298,d1-1,d1,1,TRUE,JCM14889-1-1s-96,0.619492702,218,203,229,6.255637367,2,298,1.751578463
299,d1-1,d1,1,TRUE,JCM14889-1-1s-97,0.509164544,218,204,229,5.535197937,2,299,1.549855422
300,d1-1,d1,1,TRUE,JCM14889-1-1s-98,0.285553555,218,204,228,2.262489475,2,300,0.633497053
301,d1-1,d1,1,TRUE,JCM14889-1-1s-99,0.789793549,217,203,229,7.435119466,2,301,2.08183345
303,d1-1,d1,1,TRUE,JCM14889-1-1s-101,0.639121448,217,204,232,6.538005499,2,303,1.83064154
304,d1-1,d1,1,TRUE,JCM14889-1-1s-102,0.523720289,218,204,230,5.841416616,2,304,1.635596652
305,d1-1,d1,1,TRUE,JCM14889-1-1s-103,0.996742496,217,204,229,10.49492897,2,305,2.938580112
306,d1-1,d1,1,TRUE,JCM14889-1-1s-104,0.576653747,217,202,233,6.531330879,2,306,1.828772646
307,d1-1,d1,1,TRUE,JCM14889-1-1s-105,0.964666357,217,204,232,10.49108402,2,307,2.937503526
308,d1-1,d1,1,TRUE,JCM14889-1-1s-106,0.825059255,218,203,229,8.515977978,2,308,2.384473834
309,d1-1,d1,1,TRUE,JCM14889-1-1s-107,0.628843176,218,203,232,6.648547414,2,309,1.861593276
310,d1-1,d1,1,TRUE,JCM14889-1-1s-108,0.753748666,219,204,229,8.027019764,2,310,2.247565534
311,d1-1,d1,1,TRUE,JCM14889-1-1s-109,0.330090552,218,207,229,2.970417225,2,311,0.831716823
312,d1-1,d1,1,TRUE,JCM14889-1-1s-110,0.522824973,218,206,228,5.117399795,2,312,1.432871943
313,d1-1,d1,1,TRUE,JCM14889-1-1s-111,0.839266332,218,203,231,8.813566702,2,313,2.467798677
314,d1-1,d1,1,TRUE,JCM14889-1-1s-112,0.518873711,218,204,232,5.416062452,2,314,1.516497487
315,d1-1,d1,1,TRUE,JCM14889-1-1s-113,0.616417968,217,204,230,6.525943216,2,315,1.8272641
316,d1-1,d1,1,TRUE,JCM14889-1-1s-114,0.932668827,218,202,230,9.324087277,2,316,2.610744438
317,d1-1,d1,1,TRUE,JCM14889-1-1s-115,0.61061033,218,205,229,6.17742196,2,317,1.729678149
318,d1-1,d1,1,TRUE,JCM14889-1-1s-116,0.580943713,217,204,233,6.249929455,2,318,1.749980247
319,d1-1,d1,1,TRUE,JCM14889-1-1s-117,0.491289919,218,204,229,5.589210669,2,319,1.564978987
320,d1-1,d1,1,TRUE,JCM14889-1-1s-118,0.862366999,218,204,229,8.768819672,2,320,2.455269508
321,d1-1,d1,1,TRUE,JCM14889-1-1s-119,0.361222517,217,205,228,3.400427769,2,321,0.952119775
322,d1-1,d1,1,TRUE,JCM14889-1-1s-120,0.818550779,218,204,232,8.420417497,2,322,2.357716899
323,d1-1,d1,1,TRUE,JCM14889-1-1s-121,0.70285935,217,203,230,7.129461656,2,323,1.996249264
324,d1-1,d1,1,TRUE,JCM14889-1-1s-122,0.441081902,217,203,229,4.496207375,2,324,1.258938065
325,d1-1,d1,1,TRUE,JCM14889-1-1s-123,0.664492271,218,203,229,6.881602952,2,325,1.926848827
326,d1-1,d1,1,TRUE,JCM14889-1-1s-124,0.47088464,218,204,230,5.066143058,2,326,1.418520056
327,d1-1,d1,1,TRUE,JCM14889-1-1s-125,0.88105505,218,205,231,8.961914366,2,327,2.509336022
328,d1-1,d1,1,TRUE,JCM14889-1-1s-126,0.498075031,217,205,229,4.542846189,2,328,1.271996933
329,d1-1,d1,1,TRUE,JCM14889-1-1s-127,0.374723347,218,205,229,3.719430557,2,329,1.041440556
330,d1-1,d1,1,TRUE,JCM14889-1-1s-128,0.622876698,218,202,231,6.16936785,2,330,1.727422998
331,d1-1,d1,1,TRUE,JCM14889-1-1s-129,0.626452828,217,203,229,6.535225783,2,331,1.829863219
332,d1-1,d1,1,TRUE,JCM14889-1-1s-131,0.783205035,217,203,227,7.322413329,2,332,2.050275732
333,d1-1,d1,1,TRUE,JCM14889-1-1s-132,0.314109045,218,205,228,2.980930283,2,333,0.834660479
334,d1-1,d1,1,TRUE,JCM14889-1-1s-133,0.395451518,218,204,227,3.427346785,2,334,0.9596571
335,d1-1,d1,1,TRUE,JCM14889-1-1s-134,0.378654123,217,207,230,3.667867153,2,335,1.027002803
336,d1-1,d1,1,TRUE,JCM14889-1-1s-135,0.403941793,218,204,230,4.166769006,2,336,1.166695322
337,d1-1,d1,1,TRUE,JCM14889-1-1s-137,1.424281228,217,199,232,15.19420577,2,337,4.254377616
338,d1-1,d1,1,TRUE,JCM14889-1-1s-138,0.43688817,217,205,232,4.041163488,2,338,1.131525777
339,d1-1,d1,1,TRUE,JCM14889-1-1s-139,0.402344598,218,204,229,3.676126841,2,339,1.029315515
340,d1-1,d1,1,TRUE,JCM14889-1-1s-140,0.502531783,217,207,227,4.922592857,2,340,1.378326
341,d1-1,d1,1,TRUE,JCM14889-1-1s-141,0.680078654,218,204,229,7.011572072,2,341,1.96324018
343,d1-1,d1,1,TRUE,JCM14889-1-1s-143,0.419928207,218,203,229,4.361050337,2,343,1.221094094
344,d1-1,d1,1,TRUE,JCM14889-1-1s-144,0.988152838,217,202,231,10.60568104,2,344,2.969590691
345,d1-1,d1,1,TRUE,JCM14889-1-1s-145,1.027637047,218,202,229,10.13108779,2,345,2.836704581
346,d1-1,d1,1,TRUE,JCM14889-1-1s-146,1.291447676,218,200,232,13.77508635,2,346,3.857024178
347,d1-1,d1,1,TRUE,JCM14889-1-1s-147,1.211597898,218,201,232,13.07947139,2,347,3.662251989
348,d1-1,d1,1,TRUE,JCM14889-1-1s-148,0.903296128,217,202,230,9.43618136,2,348,2.642130781
349,d1-1,d1,1,TRUE,JCM14889-1-1s-149,0.614880902,218,205,229,6.606343143,2,349,1.84977608
350,d1-1,d1,1,TRUE,JCM14889-1-1s-150,0.897665912,218,199,229,9.171354165,2,350,2.567979166
351,d1-1,d1,1,TRUE,JCM14889-1-1s-151,0.648844131,218,203,229,6.397277664,2,351,1.791237746
352,d1-1,d1,1,TRUE,JCM14889-1-1s-152,0.920144342,218,201,231,9.301900324,2,352,2.604532091
353,d1-1,d1,1,TRUE,JCM14889-1-1s-153,0.78286774,217,203,229,8.139304749,2,353,2.27900533
354,d1-1,d1,1,TRUE,JCM14889-1-1s-154,0.715138023,218,202,229,7.395097762,2,354,2.070627373
355,d1-1,d1,1,TRUE,JCM14889-1-1s-155,0.675401159,217,205,231,6.975117515,2,355,1.953032904
357,d1-1,d1,1,TRUE,JCM14889-1-1s-157,0.320636616,217,207,229,2.782028432,2,357,0.778967961
358,d1-1,d1,1,TRUE,JCM14889-1-1s-158,0.576610163,218,204,229,5.754184078,2,358,1.611171542
359,d1-1,d1,1,TRUE,JCM14889-1-1s-159,0.499694052,218,201,228,4.422528252,2,359,1.238307911
360,d1-1,d1,1,TRUE,JCM14889-1-1s-160,0.3699038,218,206,227,3.728304281,2,360,1.043925199
361,d1-1,d1,1,TRUE,JCM14889-1-1s-161,1.151107162,218,203,232,12.53985854,2,361,3.511160391
362,d1-1,d1,1,TRUE,JCM14889-1-1s-162,0.756848449,218,203,233,7.698440463,2,362,2.15556333
363,d1-1,d1,1,TRUE,JCM14889-1-1s-163,0.850630564,217,205,231,8.48678927,2,363,2.376300996
364,d1-1,d1,1,TRUE,JCM14889-1-1s-164,0.613694042,218,205,229,6.410487373,2,364,1.794936464
365,d1-1,d1,1,TRUE,JCM14889-1-1s-165,0.271230161,218,205,229,2.404551355,2,365,0.673274379
366,d1-1,d1,1,TRUE,JCM14889-1-1s-166,0.687738135,218,203,229,6.573699132,2,366,1.840635757
367,d1-1,d1,1,TRUE,JCM14889-1-1s-167,0.336354821,218,207,226,2.732825328,2,367,0.765191092
368,d1-1,d1,1,TRUE,JCM14889-1-1s-168,0.681476759,217,205,231,7.02613271,2,368,1.967317159
369,d1-1,d1,1,TRUE,JCM14889-1-1s-169,0.702757936,217,205,231,7.345428941,2,369,2.056720103
