,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
212,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-173,1.476043503,221,206,233,13.22883179,2,212,5.593465917
213,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-174,1.300442481,221,208,232,11.63720227,2,213,5.135298844
214,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-177,1.678500041,220,207,233,16.07041405,2,214,6.368219792
215,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-178,1.611869941,221,209,234,15.25474511,2,215,6.150871258
216,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-179,1.218732036,221,208,231,10.46055708,2,216,4.783031148
217,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-180,0.861140349,220,210,231,7.172952999,2,217,3.719335226
218,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-181,1.325015909,220,207,232,11.86005249,2,218,5.200651361
219,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-182,1.82427749,220,204,232,17.01362013,2,219,6.615019893
220,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-183,0.998237452,220,209,230,9.464190247,2,220,4.474271234
221,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-184,1.51623762,220,209,234,14.27009808,2,221,5.883259058
222,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-185,1.441132994,221,207,232,12.76139271,2,222,5.460914569
223,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-186,1.710220996,221,205,233,16.10903001,2,223,6.378417272
224,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-188,1.755686344,221,200,233,15.15196485,2,224,6.123212096
225,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-190,1.413605926,220,205,232,12.77255283,2,225,5.464097898
226,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-191,1.732126787,220,206,234,16.43657239,2,226,6.464587795
227,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-192,1.457879698,220,206,233,13.68932005,2,227,5.722527892
228,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-193,1.077767727,221,208,229,9.259463828,2,228,4.409512313
230,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-195,1.612440651,221,206,232,14.92573398,2,230,6.062109795
231,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-196,2.147180197,221,208,235,19.98003279,2,231,7.363158192
232,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-198,1.411874074,221,209,232,12.65528133,2,232,5.430600676
233,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-199,1.582492983,221,208,232,14.44849525,2,233,5.932190371
234,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-200,2.024557669,222,209,235,18.81409614,2,234,7.07384554
235,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-201,0.995408309,221,207,232,9.894977414,2,235,4.609033572
236,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-202,1.626362128,220,207,232,15.03952006,2,236,6.092880377
237,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-203,1.130783411,220,208,232,10.28507274,2,237,4.729387637
238,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-204,1.220242378,220,208,232,12.41404272,2,238,5.361366426
239,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-205,1.435928665,220,208,232,13.41923304,2,239,5.647008786
241,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-208,1.535444699,220,207,232,13.44968086,2,241,5.655547481
242,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-209,1.598832159,220,204,233,14.49441546,2,242,5.944752849
243,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-212,1.755486572,221,205,234,16.25112415,2,243,6.415870735
244,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-213,1.560191746,221,208,232,14.66557974,2,244,5.991462201
245,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-214,1.617967526,221,204,232,15.00557323,2,245,6.083708459
246,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-215,1.653944967,220,207,233,16.52664133,2,246,6.488182661
247,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-216,1.930543248,221,204,234,17.98418899,2,247,6.864262847
248,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-217,1.188939238,220,208,230,11.75991378,2,248,5.171336025
249,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-218,1.709051535,221,206,232,16.45362842,2,249,6.469059171
250,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-220,1.270287384,221,210,232,11.30217876,2,250,5.036259674
251,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-221,1.289310403,221,209,231,11.6889075,2,251,5.150498691
252,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-222,1.32947404,222,210,235,13.58299706,2,252,5.692858699
253,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-223,0.949994177,220,208,232,10.58985905,2,253,4.822365457
254,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-224,1.710925478,220,203,233,16.78658008,2,254,6.556038335
255,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-225,1.689208839,221,206,232,15.72797218,2,255,6.277429175
256,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-226,1.439694246,220,208,232,13.45992599,2,256,5.658419147
257,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-227,1.371820181,221,207,232,12.70175472,2,257,5.443887577
258,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-228,1.604275618,220,207,234,15.14737365,2,258,6.121975103
259,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-229,1.625408061,220,207,232,15.10349932,2,259,6.110147865
260,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-230,1.810205856,220,209,233,16.7903532,2,260,6.557020699
261,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-231,0.406944446,221,212,229,3.44099539,2,261,2.279236514
262,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-232,1.152355488,220,206,232,10.29788414,2,262,4.733314201
263,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-233,2.111114097,220,204,232,19.82189201,2,263,7.324254117
264,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-235,1.618058536,221,207,232,14.73460665,2,264,6.01024761
265,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-236,1.533988816,220,208,232,14.40829872,2,265,5.921182804
266,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-238,1.44118971,220,208,230,13.11650639,2,266,5.561758366
267,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-239,2.052198569,221,208,235,19.33807597,2,267,7.204582873
268,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-240,0.602293448,221,212,232,5.401930083,2,268,3.078690081
269,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-241,1.400865966,220,208,234,13.61561326,2,269,5.701968381
270,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-242,1.497996429,221,208,232,12.42556749,2,270,5.364684119
271,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-243,1.742280993,221,204,233,17.18179108,2,271,6.658539124
272,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-244,0.836589472,222,211,232,8.134029994,2,272,4.044552834
273,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-245,0.438292029,220,214,228,2.909620184,2,273,2.038093953
274,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-246,0.760762608,221,210,235,7.889126833,2,274,3.962956381
