,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
51,0,5.614716662,3.074372281,11.71775187,18.09386907,27.44624092,34.71897301,35.21134031,35.42020647,35.3342433,35.64259406,35.59418289,35.69008081,35.81793389,35.31147515,34.20720041,32.89513204,21.19496918,13.15464617,10.82163224,6.558001747,2.430596972,0,0,0,0,0,0,2.030592652,0,15.53359423,23.40970418,33.03711678,32.68892137,26.26360593,31.23592709,25.10043088,27.61346969,0,0,0,0,0,0,0,0,0.945350404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,4.370655987,7.927883034,11.17156198,16.43510688,26.38200215,34.30578053,35.1093054,35.49678994,35.41497464,35.33710531,35.5084759,35.85996828,35.57851532,35.42980567,34.5930853,29.62040826,20.08650444,14.09417004,9.752528164,7.059387393,4.641984464,3.405951442,0,0,1.861055964,0,0,0,16.15105222,19.66455114,22.67372923,31.11720904,27.18201807,30.86615405,31.66431955,31.33181108,32.2457125,30.09427036,28.73209758,2.307739428,0,0,0,1.034409671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.321668864
49,4.073039059,6.139389554,7.825813306,10.91850858,15.71018304,22.61824718,32.36670412,35.02242386,35.47508738,35.33387053,35.51980781,35.19550945,35.28593106,35.22315106,34.89127707,34.10411698,27.6440482,20.75448959,11.41393539,9.269255289,7.035071043,0,2.038528015,0,0,0,1.74933651,1.895817057,9.709466476,23.95015874,16.22981052,23.7472074,25.03922589,16.6856466,19.24391916,25.76685881,26.11997185,28.81620623,26.09517116,29.56087267,12.96042963,0,0,0,0,0,2.406036507,0,0,2.111538449,1.624931129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3.034039974,2.649364192,5.840751886,10.79967255,13.4003438,19.14159269,28.34237512,34.62666898,35.29041753,35.19475404,35.51606044,35.21685342,35.36126547,34.93863202,34.76135173,33.68927582,23.68228306,16.66386197,12.32253127,9.759041072,6.309268357,0,2.96291883,0,0,0,0,0,15.74910411,23.05514637,15.2127523,21.31547399,22.56995742,14.49936415,21.02725414,22.3074901,19.74971896,26.72219012,23.09161479,21.93172686,6.735362625,3.155256691,0,0,1.939769908,2.443019691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,3.064134246,0,6.680080628,9.928085151,17.20988287,21.66273305,29.15988684,32.16876591,34.73584723,35.47209697,34.34125637,34.7286613,35.14588934,30.75160173,24.99010043,17.92610725,23.86086263,29.0220135,14.91659409,0,0,1.729226649,0,0,1.253229041,0,0,7.931304562,16.27109573,20.93987191,21.9641036,24.04719607,23.10423427,25.86985964,23.07082372,18.57145914,25.62542854,17.74561214,15.24096174,0,3.327657198,0,4.683471624,14.13367242,30.05056242,26.10529635,28.92766821,19.98953624,4.868272285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,3.102478804,5.519622495,8.416399191,10.8150869,13.07343726,21.42358503,25.85908064,28.11506552,30.53503525,31.35828327,30.8070123,28.26724272,25.9646682,18.99126264,15.30128924,15.89188608,29.80609698,10.03809469,0,0,0,1.917854221,0,0,0,2.64979036,5.19982335,12.08123593,14.93045536,12.69235475,17.9357782,29.6389157,20.98152531,23.42301893,7.786454042,6.172489861,0,1.417249113,0,0,0,0,12.88422318,22.29730656,14.85381491,24.45369169,22.18621438,12.78731568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,2.388701598,0,4.729889172,7.593161299,9.294422651,15.34150694,16.34586273,19.30933887,20.44811697,21.76071549,23.05864073,19.00436607,17.29141342,14.38995958,11.71889113,11.71853437,6.044617344,5.69921505,0,0,0,0,0,0,0,0,0,0,5.583630369,7.422846284,9.212730831,16.07740014,16.18656802,11.08140341,8.827044997,3.540823726,2.727928321,0,1.612099274,0,0,0,7.725722311,17.0700399,22.79298188,17.09154784,26.46077316,28.28233914,1.825570329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,2.933950997,0,5.694381728,0,7.01587097,9.49579035,10.04958821,12.0958986,12.10194134,15.05626367,12.66966074,13.78937889,11.36335531,8.404990671,6.285410278,4.224447386,3.709393604,0,0,0,1.472705671,2.934181097,2.594246969,0,0,0,0,0,0,0,3.946448682,5.671485928,4.086894527,0,0,0,0,0,0,0,0,0,0,20.16360661,25.8265828,24.76991862,20.83343221,27.75931227,4.876150629,0,0,0,0,0,0,0,0,0,0,1.033685634,0,0,0,0
43,4.617546396,0,2.30351304,0,0,2.738255689,0,4.002056734,3.555468815,0,3.116549858,3.728899929,3.867794472,4.33504137,0,3.349589985,1.844831877,0,0,0,0,0,2.551021212,1.380899549,0,0,0,0,0,0,0,3.001123763,4.261296502,0,4.056156567,0,0,0,1.655991199,2.409848946,0,0,0,0,0,13.09442548,31.74145441,19.56155634,18.37575762,12.08300407,0,1.690128219,0,0,0,0,0,0,0,0.919856655,0,0,0,0,0,1.100801442
42,0,0,0,0,0,0,2.141153921,0,1.384903517,0,0,1.027318104,0,1.670011497,0,0,0,1.367476227,0,0,1.466809549,0,2.808111174,1.872822285,0,0,0,0,0,1.86495304,0,1.723981255,0,0,6.398241264,5.021901193,0,2.188980134,2.377801941,0,3.028973847,1.980697818,3.609329803,0,0,0,4.077906287,9.279821796,3.852907076,2.762250356,0,3.370590108,1.524578244,0,0,0,0,0,0,0,0,0.630477802,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416101465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.339336176,0,0,0,0,0,2.457404408,0,0,0,0,0,0,1.657992959,0,0,2.315778114,0,0,0,0.797285324,2.297445598,0,0,2.684011172,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0.574268251,0,0,1.559356889,2.016382203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.362583362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.287971897,0,0,1.858243529,0,0,1.053451351,0,0,0,0,0,0,0,0,0,0,0,0
